sentence,doc,n
"desired skills: • effective conceptualization, pattern recognition and teaming skillspresentation and facilitation skillsbusiness domain, data/content and process understanding (along with required technical skills)data modeling and information classification expertise at the enterprise levelunderstanding of common information architecture frameworks and information modelsunderstanding of the differences between relational and object modelingunderstanding of metamodels, taxonomies and ontologies, as well as the challenges of applying structured techniques (data modeling) to less-structured sourcesfamiliarity with mdm, bi and data warehouse development techniquesknowledge of problem analysis, structured analysis and design, and programming techniquesability to assess rapidly changing technologies and apply them to business needseffective communication and persuasion skills, including the ability to create marketing and messaging materials to satisfy stakeholder preferencesability to analyze project, program and portfolio needs, as well as to determine the resources needed to achieve objectives and overcome cross-functional barriersbasic qualifications: 12+ years’ experience in data management & data governance in diverse contexts with depth in data & information architectures - structured and unstructured preferably in aerospace & defense or in large manufacturing industries for descriptive/diagnostic and predictive, prescriptive analytical needs",44,1
develop and promote data quality standards for data entry and reporting of these data,39,1
develop and publish regular procedures status reporting,13,1
"develop functional designs based on analysis of line of business needs, objectives and existing systems infrastructure",7,1
"developing automated, and in some cases real-time, marketing reports and dashboards that help marketers focus on what is important or what are outliers that require action",20,1
develops and performs independent data quality analyses relevant to their assigned area of stewardship,36,1
"develops, designs and/or integrates data solutions to complex business problems",11,1
"digital marketing data steward, analyst iitd ameritrade481 reviews-st",2,1
direct reports: notravel required: 0-10%harley-davidson - 6 days ago - save job - original jobapply nowapply on company sitesave this job,31,1
document detailed task level procedures for priority programs and bau data steward and remediation activities,13,1
document high level processes using visio or similar process mapping tools,13,1
document results,35,1
drive business partnerships in support of the new blue initiatives,49,1
drive root cause analysis on data quality issues identified and escalated from lines of business and it,35,1
drive the area data-decision making process and facilitate discussion to address conflicting viewpoints with the goal of arriving at mutually satisfactory agreements,10,1
drives accountability for data integrity by developing and executing necessary processes and controls around the flowof data.,11,1
dtcc - 8 days ago - save job - original jobapply nowapply on company sitesave this job,21,1
"duties would includeaccurate and complete material master data within ecc, hybris and crmensuring timelines are adhered to by working with launch teamsdefining data quality metrics and standards •assist in all aspects of sap material master data throughout the end to end processanalyze data information and make best practice recommendations for functional requirementssolicit and compile requirements from key stakeholders to provide solutionsbose is an equal opportunity employer that is committed to inclusion and diversity",8,1
"education (hs diploma, under/graduate degree, etc",13,1
"education & experience1 bachelors degree or equivalent work experience2 typically a minimum of five to seven years experience in data management, accounting, systems development, data analysis or systems/business analysis as required by position.",11,1
"education:bachelor's degree in information systems, business, economics, finance, statistics, mathematics, computer science, accounting, engineering or a related field required",29,1
"education/experience:bachelor’s degree or equivalent, preferably in marketing, statistics, business, economics or related field",25,1
"educationbachelor's degree required in computer science or related fieldequivalent work experience may be considered in lieu of degreerequired skills and experience5 years experience in data related role.3 years experience with query, reporting and analytical tools",35,1
"employment requirements:must be able to pass criminal background check and drug screenphysical requirements:this position requires being able to sit for 8 hours a dayable to communicate verbally and in writingschedule:this position is full-time, requiring minimal schedule flexibilityglobal lending services - 30+ days ago - save job - original jobapply nowapply on company sitesave this job",29,1
ensight solutions - 10 hours ago - save job - report job - original jobapply nowapply nowsave this job,4,1
"ensight solutions, llc is an equal opportunity employer",4,1
ensure data adheres to all business and enterprise standards,42,1
"ensure data adheres to all business and enterprise standardswork collaboratively in the area continually measuring performance to data governance and data stewardship kpi’s (e.g., data quality) and facilitate methods to address exceptions to predetermined thresholdshelp define the area’s support structure, processes and mentoring for data stewardship implementationcontinually assess opportunities for data quality improvement, while identifying issues, root causes and remediesliaison to the enterprise data governance and management (edgm) organization and member of the data governance board where you will be expected to :information classification: limited access 2consult with edgm on the creation of intakes for shared serviceswork with the edgm data governance function on presentations and the status of domain-specific action items to the data governance boardprovide input to data policy and standards; data governance priorities; change management strategies and communication plans; and to the future composition, direction and roles of the data governance organizational frameworkstate street - 30+ days ago - save job - original jobapply nowapply on company sitesave this job",10,1
ensure data quality across assigned data assets and resolution of dq issuescertify key business elements (kbes)map end-to-end enterprise data supply chain (data lineage) partnering with it and data governance operation functions,1,1
"ensure requirements and designs are translated to working technical designs, so that test plans serve customer needs",7,1
"ensure that only approved and valid changes are allowed into a production environmentknowledge, skills, abilitiesmust be methodical, detail-oriented, and well-organized",33,1
ensures adequacy of test plans and monitorsapplication testing results associated with data transformation processes between applications.,11,1
ensures all employees adhere to the company and departmental policies and standard operating procedures,41,1
"ensures information systems products and services adhere to policies, procedures and standards for data access, integration, maintenance, governance, dissemination and analysis",11,1
ensures sufficient data quality is maintained so that the data can effectively support the outsell customer engagement platform,16,1
ensures that all standards are followed and controls are adequately designed and implemented,22,1
ensuring that the business has an 'advocate' and expert to get to the end goal,25,1
enterprise master data steward packaging and packaging specificationsthe hershey company705 reviews-pennsylvaniathe hershey company705 reviewsread what people are saying about working here,36,1
"enterprise master data steward-ingredients and ingredient specificationsthe hershey company705 reviews-hershey, pathe hershey company705 reviewsread what people are saying about working here",45,1
"enterprise master data steward-product specifications and recipesthe hershey company705 reviews-hershey, pathe hershey company705 reviewsread what people are saying about working here",50,1
enterprise role overviewassists with changes to data capture processes and data transformation logic,7,1
equal employment opportunity policybank of the west is an equal opportunity employer and proud to provide equal employment opportunity to all job seekerswithout regard to any status protected by applicable law,18,1
"erp transformation – data digitization lead:leads global data cleansing efforts for the ingredients and ingredient specifications domainestablish data inventory to which further data definition and enrichment can occurfacilitate the development and documentation of data decisions, concepts, and design modification in collaboration with the subject matter expertsownership of kdds and bpds associated with ingredients and ingredient specification datadefine security requirements and classifications for datadefine a set of procedures for requesting access to various elements of data and document these data access request procedures",45,1
"erp transformation – data digitization lead:leads global data cleansing efforts for the product specification and recipe domainestablish data inventory to which further data definition and enrichment can occurfacilitate the development and documentation of data decisions, concepts, and design modification in collaboration with the subject matter expertsownership of kdds and bpds associated with product specification and recipe datadefine security requirements and classifications for datadefine a set of procedures for requesting access to various elements of data and document these data access request procedures",50,1
"erp transformation – data digitization lead:supports global data cleansing efforts for the packaging and packaging specification domainestablish data inventory to which further data definition and enrichment can occurfacilitate the development and documentation of data decisions, concepts, and design modification in collaboration with the subject matter expertsownership of kdds and bpds associated with packaging and packaging specification datadefine security requirements and classifications for datadefine a set of procedures for requesting access to various elements of data and document these data access request procedures",36,1
"essential competenciesbachelor’s degree in business, economics, statistics, computer science, a related discipline or equivalent work experience",32,1
essential duties & responsibilities,11,1
essential duties & responsibilities: business intelligence reports & dashboards:create reports and dashboards to standardize and automate metrics to be shared with corporate marketing peers and property counterparts,20,1
essential duties and responsibilitiesmanages day-to-day activities within the data steward team including creating assignments and managing the work load and on call schedule,41,1
"essential functions reviews, verifies codes and enters data from source materials into erp systems",40,1
"essential job duties & responsibilitiesrepresentation and mediationserve as the central voice representing the organization’s use, policies, and decisions related to assigned data – serve as the central voice representing the various stakeholder perspectivesact as a communication node and mediator between data stewards or consumers of related data – provide mediation and/or arbitration services between users or business areas, when there are disagreements or identified data issues within (the steward’s) assigned data areas (domains",32,1
"essential job functionspartners with the assigned business group affected by changing laws, regulations or policies to ensure that appropriatechanges are implementedsupports the assigned business group to respond to regulatory / audit inquiries and assist with evidence gathering asrequested",18,1
establish processes and create / modify other material types at request of business partners,35,1
excellent communication and presentation skills and ability to interact appropriately in a matrixed environment with all levels of the organization,33,1
excellent problem-solving and critical-thinking skills; balancing strategic alignment with technology roadmap and emerging industry trends with practical delivery,32,1
excellent technical documentation skills are also expected,39,1
excellent verbal and written communication skills,41,1
excellent written and oral business communication skills,35,1
excellent written and verbal communication skills with strong relationship building skills to influences non-technical audience including senior product and business management,44,1
"execute data stewardship for entities across crm systemscollaborate with distribution across nuveen to revise criteria for adding, updating, and deleting entities within crmresponsible for all administrative functions within crm systems related to data accuracy and quality, including the creation and organization of users, and the maintenance of validation lists which drive workflow, reporting, and analyticsanalyze third party data and provide recommendations for integration and enrichment of existing datamanage service tickets and change requests within crm systems in accordance with governance rulesco-manage the crm enhancement release process for the cim team, including identification of future enhancements and writing business requirements",22,1
"executes master data strategy for the packaging specification and data domainresponsible for project-related data quality and complianceperiodically provides updates and brings the areas needing attention to the leader and the sponsorcoordinates with cross-functional teams to help resolve operational issues within the data digitization effortcollaborates with is teams to prioritize and implement changes and strategiesperforms research and helps the team determine best practices for a given situationbenchmarking, external networking:incorporate industry best practices and tools based on emerging trends and changing business requirements",36,1
execution:supports formal and informal data steward networks by acting as “first line of defense” in fielding opportunities to improve data quality as well as resolving data issues,36,1
"exercise use of specialized knowledge in order to continuously improve data quality, integrity, accuracy, and consistency in the systems, while monitoring and resolving interface issues",31,1
experience in sql server and ssis a plusexperience with data quality and/or data governance theory,29,1
experience in working with data integration and data warehousing solutions preferably in an sap ecosystem,44,1
"experience minimum 3 years’ experience with data entry into systems (manually, excel spreadsheets and directly) previous experience with an advanced planning systems and master data management systems a plus previous experience with at least one erp system (baan, sap, etc.) desirableaffirmative action/equal opportunity employer",40,1
"experience requiredthis role typically requires a minimum of 8 years of related experience highlighting:an ability to effectively interpret data governance requirements, apply data governance standards, while recommend best practices to improve systems, interfaces, and compliance requirementsa demonstrated ability to lead a group and/or team and provide guidance to other employeesproven track record of continuously improving data management processes, data confidence, and metricssupplemental informationwe offer an inclusive compensation package for all full-time salaried employees including, but not limited to, annual bonus programs, health insurance benefits, a 401k program, onsite fitness centers and employee stores, employee discounts on products and accessories, and more",31,1
"experience utilizing microsoft tools (excel, access, etc.) is mandatory, as are the skills to effectively extract (mine), analyze, cleanse and manipulate data",25,1
"experience with data quality/governance tools such as collibra, informatica, datum, trillium, ataccama a plus.1 to 3 years of experience with data or an it quality related role preferred",29,1
"experience with deriving insight from the analytics, and crafting and communicating the insight narrative to senior leadership and peers is preferred",20,1
experience with financial lending services preferred,29,1
experience with microsoft products and microsoft sql databases,29,1
"experience with sap ecc, sap hana, microsoft sql server, as well as familiarity with etl tools (sap slt, dsap data services) and data profiling processes/tools",44,1
"experience with sql, sap and winshuttle a plus",35,1
"experience working with a variety of information systems and data files, including large and complex files: analyzing file structure, creation of databases, utilizing query tools for data mining, using and creating file layouts and transforming raw data into finished products",42,1
experience:minimum of 4-5 years of experience in master data management or data quality management4-6 years of pacakaging development and/or packaging systems management strongly preferredprevious experience working with a global process manufacturing company is desiredthe hershey company is an equal opportunity employer,36,1
"experience:minimum of 4-5 years of experience in master data management or data quality management4-6 years of product development, quality assurance data development and management strongly preferredprevious experience working with a global process manufacturing company is desiredexperience releated to business process improvement / continuous improvement (six sigma) and quality management systems is preferred",45,1
"external data managementprovide guidance and direction with identification, acquisition, and control of related external data sources",32,1
extracts and complies information from databases to produce reports,40,1
facilitates communication internally with branches to collect required compliance documentation related to “know yourcustomer” and high risk customer types,18,1
"familiar with a variety of the field's concepts, practices, and procedures",16,1
"for additional information, please review: (1) the eeo is the law poster (http://www.dol.gov/ofccp/regs/compliance/posters/pdf/ofccp_eeo_supplement_final_jrf_qa_508c.pdf); and (2) its supplements (http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm",8,1
"for example, clearly define the domain of acceptable values or range of acceptable values for the data and its defined attributes",32,1
for more information about the firm please visit our website at www,22,1
"for more information, visit www.coopervision.com",40,1
"for more information, visit www.nielsen.comnielsen is committed to hiring and retaining a diverse workforce",39,1
"from operating facilities and data centers around the world, dtcc automates, centralizes, and standardizes the processing of financial transactions across the trade lifecycle and mitigates risk for thousands of institutions worldwide",21,1
"from our retail stores and our network of distribution centers to our corporate offices, you'll work with others who share your values and commitment",25,1
"gather requirements from analysts, quality team, and compliance to build enhancements to existing data governance toolpromote and communicate proper data identification and usage to analysts, developers, and leadershipidentify possible data issues during change control discussions, and act as a gatekeeper for data quality",29,1
global collaboration: applies global perspective when working within a team by being aware of own style and ensuring all relevant parties are involved in key team tasks and decisions,21,1
guide the area needs for information sourcing; provisioning; consumption; standardization; and reporting & analytics,42,1
happier people,25,1
"he/she will also work with the data quality (dq) administrators and technical data owner representatives to ensure key data elements are measured and monitored, and is responsible for clearly defining dq business rules to be used for that purpose",12,1
he/she will have a solid understanding of business objectives to ensure that transforms data that can be leveraged for decision-making as well as assisting data strategy in identifying patterns and opportunities to optimize data collection,49,1
help coordinate the remediation plan execution and estimate any potential remediation plans,21,1
"help define applicable rules for each applicable dimension (completeness, coverage, conformity, consistency, accuracy, duplication, timeliness",21,1
helps align and monitor key performance indicators and internal controls,7,1
helps maintain an inventory of data transformations,7,1
"hence, the data steward is acting on behalf of the data owner stakeholder",32,1
"here's what we would like to see:our 1 requirement is a team player, willing to jump in and do what it takes to get the job done for our customers",4,1
highly visible role that allows you to influence decisions that make an impact throughout the enterprise,49,1
"ideal steward has expertise within a domain of insurance data management associated with claim, finance, actuarial, or corporate processing and reporting applications",11,1
identifies and reconciles data input discrepancies,40,1
identifies root causes of data quality problems within their assigned area of stewardship and identifies sustainable solutions,45,1
identify and report/escalate alerts on issues related to “know your customer” compliance,18,1
identify areas to optimize code and processesdetect and address quality escapes,39,1
identify opportunities for improvement and incorporate it into the data strategy,10,1
"identifying owners, function and usage of our existing and pending tags across all of tda’s web propertiesongoing tag rationalization for all web propertiesowner of the digital governance playbook that includes operating procedures for tag addition / removalowner of the digital data working group sharepoint siteresponsible for adherence to privacy laws and internal policies for our digital marketing dataresponsible for ensuring all data providers used for modeling and segment creation in adobe’s data management platform provide us only datamanage relationships with business partners to ensure their needs and considerations are taken into account with regard to the strategic visions and execution of projects as it relatesmaintain a cross functional view to assess the immediate and downstream impacts across the organization for various initiatives to mitigate risk and avoid potential client disruptionoversee the development of and review proposed changes to compliance-related policies and procedures",2,1
"if you are looking for a business that allows for individual reward and growth, we are the place for you",33,1
"if you need a reasonable accommodation because of a disability for any part of the application or employment process, please send an e-mail to wellbeing@bose.com and let us know the nature of your request and your contact information",8,1
"if you need assistance applying due to being visually or hearing impaired, please email careers help",22,1
"if you’ve got the drive to get out there and grab it, you’ll find lots of opportunity here",48,1
implements and enforces standards and procedures to ensure data is managed consistently and properly integratedinitial set up and sample data auditing to ensure data streaming process is accurate and formatted as required,16,1
implements established procedures/policies and ensures business unit compliance with 1st line of defense and bnpprequirements,18,1
"in accordance with federal, state and local laws, black box does not discriminate against individuals on the basis of race, color, marital status, sex, sexual orientation, religion, national origin, age, disability, veteran status, genetic information, or any other protected status, and endorses those policies and practices which seek to recruit, hire, train and promote the most qualified persons into available jobs",33,1
"in addition to having experience in the responsibilities above, the ideal candidate will have the following qualifications: basic -1+ years of experience working in data management, digital analytics or related area1+ years of experience with concepts of database design and sql1+ years of experience working with digital analytics tools (adobe analytics, google analytics, etc",49,1
"in addition, this position will be responsible for updating data quality and data governance tools to sync with production development environment and databases",29,1
"in concert with enterprise data governance and mis reporting, executes against our growing data management framework to improve data lineage, quality, cleanliness, and accessibility across the enterprise",11,1
"in this position you will have the following responsibilities: create enterprise data policies, standards, and processescreate and manage tools to addresses data issues/topics relevant to psjh such as systems of record, data sourcing, master data, metadata, data governance and data quality",24,1
"in this role, you will be responsible for maintaining accurate data regarding the physicians, prescribers, hospitals, and other clients coram partners with for our services",41,1
"in-depth knowledge of computer hardware, software, platforms and operating systems",29,1
independently query data in the data lake using sparkindependently write custom python code,39,1
"industry recognition - tricorbraun has won many national and international packaging awards recognizing excellent design, function, economy and sustainabilityexcellent compensation - in addition to a competitive salary and yearly bonus potential, we offer comprehensive benefits in medical, dental, and vision insurance, a 401(k) plan with employer match, paid time off plus holidays, insurance, tuition reimbursement, and more",48,1
"influences and promotes the development of p&c data standards and corporate coding structures through deep knowledge of cna's products and services, external statutory, regulatory and financial and internal management information reporting requirements",11,1
"influencing: convinces others by making a strong case, bringing others along to their viewpoint; maintains strong, trusting relationships while at the same time is comfortable challenging ideas",21,1
"influential, focused and versatile team player that is comfortable under pressure",32,1
informs new data stewards on proper use of data under their management,36,1
"innovation and creativity: thinks boldly and out of the box, generates new ideas and processes, and confidently pursues challenges as new avenues of opportunity",21,1
interested,4,1
"interface with business and it team members, taking a lead role in the analysis, research, and resolution of master data issues specific to the ingredients and ingredient specification domainlead the development of data definitions, business rules and processes that support and enforce data quality standardsestablish procedures for the creation, collection and consumption of the datacontinuous improvementidentifies and delivers on opportunities to improve data quality, policy, and processes, and ownership",45,1
"interface with business and it team members, taking a lead role in the analysis, research, and resolution of master data issues specific to the packaging and packaging specification domainlead the development of data definitions, business rules and processes that support and enforce data quality standardscontinuous improvement - targets opportunities to improve data quality, policy, and processes, and ownership",36,1
"interface with business and it team members, taking a lead role in the analysis, research, and resolution of master data issues specific to the product specifications and recipe domainlead the development of data definitions, business rules and processes that support and enforce data quality standardsestablish procedures for the creation, collection and consumption of the datacontinuous improvementidentifies and delivers on opportunities to improve data quality, policy, and processes, and ownership",50,1
"it is one of the largest global asset managers with specialist knowledge across a wide array of asset classes, including fixed income, equities and alternatives",22,1
it is the policy of the national mi to comply with all applicable laws concerning the employment of persons with disabilities,32,1
"job control language (jcl) helpful, but not required.",11,1
"job description summaryresponsible for ensuring that the assigned business unit policies, procedures and practices align with bank of thewest 1st or 2nd line of defense operation risks and compliance requirements",18,1
"job description:candidate to function as treasury data management data steward supporting traded product measurements for various enterprise capital liquidity management initiative workstreams including; recovery and resolution planning (rrp), net stable funding ratio (nsfr), fr2052a (fed 5g), funds transfer pricing (ftp/cost of carry), liquidity coverage ratio (lcr), capital requirements directive (crd iv), additional monitoring metrics (amm), and basel iii",7,1
job descriptioncompany overview:nuveen is the investment management arm of tiaa,22,1
"job descriptionsummary:the role of the data management specialist will work collaboratively in a team environment to coordinate the department’s quality, security, and maintenance of data",15,1
"job responsibilitiescapturing and documenting metadata data lineage, profiling and assessing data quality, assigning business and technical responsibilities for data ownership, and capturing business rulescreate routines for oversight of data environment, data procedures, and end-user reportingsupport data modeling and data management activitiesprovide project management support for broader analytics and data teamsqualifications3+ years of experience fulfilling the role of a data stewardability to work collaboratively with analysts, architects, modelers, business and technical teamsproficiency in sql for generating quality assessments and insight generationexperience working within a data warehouse team or reporting team as an analyst, modeler or data stewardexcellent communication skills with both business and technical audiencessubject matter knowledge of brokerage operations or financial servicesprior experience performing data modeling and/or data architecture in a data warehouse/bi initiativestrong project management skills to maintain calendar of necessary data management activitiesability to leverage multiple tools to create and maintain necessary data stewardship outputsally overviewally financial inc",26,1
job summarydata integration support: implements import and data auditing procedures with third party data provider,16,1
job summarydata stewardship is the formal accountability for business responsibility ensuring effective control and use of an organization’s data assets,32,1
"job title: master data steward – supply chaindepartment: supplyjob summaryresponsible for the administration and maintenance of enterprise system item master data (from components to finished goods), and the execution of data governance policies and procedures",40,1
"job type: full-timesalary: $60,000.00 /year19 hours ago - save job - report jobapply nowapply nowsave this job",3,1
"job type: regularprimary location: oldsmar,floridasecondary locations: il - chicago, , ,travel: yes, 10% of the timenielsen - 30+ days ago - save job - report job - original jobapply nowapply on company sitesave this job",39,1
"job:risk management strategyprimary location:massachusetts-dorchesterorganization:cro_us (ssy_8855)schedule:full-timejob posting:aug 30, 2018, 1:45:23 pmsantander bank - 24 days ago - save job - original jobapply nowapply on company sitesave this job",13,1
"join us at lockheed martin, where we’re engineering a better tomorrow",44,1
joseph health - 3 days ago - save job - original jobapply nowapply on company sitesave this job,24,1
"joseph health is calling a senior data steward – psjh to our location in either anaheim, ca or renton, wa.we are seeking a senior data steward – psjh to support strategic priorities of providence st joseph health data governance and data assets program",24,1
"key areas of focus will include:specialized depth and/or breadth of expertise in data management, data governance and project management in support of sound analytics and business intelligenceachievement of data maintenance, quality assurance, data requirements, and accuracy to drive results in data governance and project management objectivesresolution of complex problems involving data requirements, architecture, and strategy decisions and informally lead others to solve complex problems related to master data, systems, and best practices using analytical thought, exercising judgement, and identifying innovative solutionscommunicate difficult concepts such as data confidence, master data requirements and rules, and data integrity, and negotiates with others to effectively influence as appropriateeducation requireda bachelor's degree in business, marketing, or a related field is preferred",31,1
"key focus areas for the data governance function are:establish data standards and build foundational components such as data policy, enterprise glossary, data ownership",1,1
"key responsibilities and duties:the customer information management (cim) data steward is responsible for data quality, stewardship, and analysis of the data within our crm systems, encompassing multiple elements including financial and demographic data",22,1
"key responsibilities that make an impact:translates digital experiences, prototypes and wireframes into a set of technical specifications that employ digital data collection standards and best practices",49,1
"key tasks include – but are not limited to – data integration, automation, examining large volumes of data, identifying trends and being able to explain said trends, building data model requirements, creatively identifying ways to work around gaps in our data model, problem solving, reporting, project management, data analysischampion and facilitate the appropriate use of the data that fall within their domain",39,1
"knowledge of and experience with enterprise source systems and of systems that consume master & reference data, including crm, erp and data warehouse / business intelligenceexperience in dealing metadata and reference data software packages, and architecture",24,1
knowledgeable about business intelligence/analytics tools and their appropriate use in solutions for diverse business requirements with clarity in understanding business needs around ‘running the business vs managing the business,44,1
knowledgeable in industry best practices and systems,18,1
"kyc- remediation team (data steward)bank of the west946 reviews-tempe, azbank of the west946 reviewsread what people are saying about working here",19,1
"kyc- remediation team (data steward)bnp paribas2,203 reviews-tempe, azcontractbnp paribas2,203 reviewsread what people are saying about working here",18,1
las vegas sands corp. - 30+ days ago - save job - original jobapply nowapply on company sitesave this job,20,1
lead and help identify and acquire new sources of data to address important objectives,44,1
"lead data cleanup or remediation efforts, when necessary – identify proactive ways to solve root causes of poor data quality, promote data quality awareness, and ensure data quality requirements are met",32,1
"lead data stewardharley-davidson1,102 reviews-milwaukee, wiharley-davidson1,102 reviewsread what people are saying about working here",31,1
"lead data stewardiqvia114 reviews-redwood city, ca$50 - $60 an hourcontractiqvia114 reviewsread what people are saying about working here",6,1
lead the design and development of data audits and tools for the business data stewards,35,1
"lead the design and development of queries and reports to measure data quality and master data processes to support mdm, workflow and quality projects",35,1
"lead the design and development of workflows incorporating definitions, business rules and standards to improve data quality",35,1
leadership competencies for this level include:accountability: demonstrates reliability by taking necessary actions to continuously meet required deadlines and goals,21,1
leadership skills,35,1
"learn and become an expert in tv nielsen knowledge, with a focus on the data model, weighting, computations, and enhanced methodologies",39,1
learn more about us: https://www.youtube.com/user/coramhealthcarerequired qualificationseducation and experience equivalent to a two-year college degree,41,1
learn quickly and explain complex data models and methodologies to a variety of audiences,39,1
let’s talk about what’s possible,49,1
"li-pb1job finance and accountingprimary locationunited states-illinois-chicagoorganization claim (worldwide claim)job posting may 16, 2018unposting date ongoingcna insurance - 30+ days ago - save job - original jobapply nowapply on company sitesave this job",11,1
li-rs1ally financial - 17 days ago - save job - original jobapply nowapply on company sitesave this job,26,1
li-usabout nielsen:nielsen n.v,39,1
lockheed martin corporation - 2 days ago - save job - original jobapply nowapply on company sitesave this job,44,1
"lockheed martin has employees based in many states throughout the u.s., and internationally, with business locations in many nations and territories",44,1
lockheed martin is an equal opportunity/affirmative action employer,44,1
louis as a used-bottle company,48,1
"louis, motd ameritrade481 reviewsread what people are saying about working here",2,1
"maintain a constant pulse on new features within the various bi tools, communicate these features to relevant team members, and enhance our reporting capabilities when applicable",20,1
maintain composure under pressure and consistently meet deadlines with internal and external customers and contacts,20,1
"maintain data governance tool including data maps and lineage tracing as new databases, reports, files, applications, and data loads are developed",29,1
maintain reference data for consistency across systems,35,1
"maintains current knowledge of related banking activities, operational risk management and regulatory compliancerequirements for financial institutions",18,1
maintains data entry requirements by following data program techniques and procedures,40,1
major duties/responsibilities: enterprise master data steward for a domain/area(s):the enterprise master data steward assists with the management of the company's ingredients and ingredient specifications data assets in order to improve and maintain timeliness and quality of the data,45,1
major duties/responsibilities: enterprise master data steward for a domain/area(s):the enterprise master data steward assists with the management of the company's product specification and recipe data assets in order to improve and maintain timeliness and quality of the data,50,1
make recommendations for improvements,35,1
manage new item set up process ensuring correct parameters are in place to manage system integrity and drive optimal functionality,4,1
manage or participate in management of contracts related to assigned data – maintain documentation on documentation related to an external authority’s copyright or usage restrictions related to the data,32,1
"manager data stewards and data governance officers to prioritize problemsexecute data quality testing function that serves as a first line of defense for their functional business areadeveloping an understanding of data quality dimensions, data profiling, data tracing, metadata management, lineage, data quality business rules, the discipline of data quality testing and of root cause analysis for issue management and resolutionassesses opportunities for data quality improvement including determination of business impact and scope of data quality issues, while identifying root causes and remediesfacilitates the resolution of data, information and processing challenges, which have an adverse impact on the operational environment and/or business performanceminimum 3 years of experience in any of the following disciplines: business operations role with a data focus, data usage, process analysis, process improvement, technology development/support, project management, digital marketing analyticsexperience using a web tag management tool such as google tag manager, adobe dtm, tealium, etc. is strongly preferredadvanced analytical and problem solving skills with ability to understand business and technical functions, process information, ability to assess impacts to the data elementssolid critical thinking skills to scope and frame problemsdisplays excellent judgment to understand and support business driven solutionsability to influence and build relationshipshighly organized as the role requires keeping up with the ever changing environment. e.g. new and improved tools and methodology to maintain data quality and integrityoptimistic, proactive, outcome-oriented, and disciplinedexperience turning tradeoffs situations into win-winsability to think creatively and have flexibilitystrong written and verbal communication skills required for interactions across organizationability to handle multiple and shifting prioritiesproficient in the use of microsoft officeexperience using a tag auditing tool, data management platform or demand side platform preferredcompetent in the technical arena and understanding of system development, process improvement, and/or infrastructureexperience in facilitating team meetingsexhibits behaviors indicating a focus on goals, overcoming obstacles with the ability to exhibit respect and promoting teamwork4 year college degree in marketing, business or computer sciencemilitary education or experience may be considered in lieu of civilian requirements listedtd ameritrade - 30+ days ago - save job - original jobapply nowapply on company sitesave this job",2,1
manages all necessary changes/updates to item master data as required,40,1
"manages the administration of data routing process (workflow) for item data, working with business users to ensure accuracy of information",40,1
manages the inventory of data needs and outgoing data requestsset data standards and clearly define the range of acceptable values and attributes for data,39,1
many of the activities associated with data stewardship may have already been being performed before a formal data stewardship program is implemented,32,1
"marketing strategy & financials:create metrics and reporting to better understand direct marketing strategies, guide the team to achieve maximum response rates at optimal reinvestment rates, and to drive engagement and wallet share",20,1
"master and reference data managementassist with definition of an organization’s taxonomies and resolve related, assigned semi and unstructured data content issues",32,1
"master data stewardblack box network services143 reviews-lawrence, pablack box network services143 reviewsread what people are saying about working here",33,1
"master data stewardensight solutions-strafford, mo 65757ensight solutions, llc is currently looking for a talented individual to join our team as a master data steward",4,1
"master item data steward - supply chain - vic0471descriptioncoopervision, a unit of the cooper companies, inc",40,1
"master item data steward - supply chaincoopervision172 reviews-rochester, nycoopervision172 reviewsread what people are saying about working here",40,1
master’s degree or related industry certifications related to position are preferred,32,1
may assist with dispositioning of new accounts in the new customer on boarding process and preparation of newcustomer documentation for escalation to the customer acceptance committee,18,1
may perform additional duties as assigned,11,1
"metadata managementcreate and maintain business metadata (e.g., data names, meanings, business rules, etc.) – define metadata access and integration needs, and use metadata to make effective data stewardship and data governance decisions",32,1
"minimum knowledge, skills and abilities required to successfully perform major duties/responsibilities: leadership/facilitator skills:ability to work well with others as well as part of a teamability to travel internationally up to 10%, and adapt work style to other cultures and time zones",36,1
minimum of 1-year project management experience required,35,1
minimum six years of related work experience,41,1
minority/female/disability/veteranjob: supply chainprimary location: united states-new york-rochesterorganization: supply chainschedule: full-timeunposting date: ongoing:coopervision - 30+ days ago - save job - original jobapply nowapply on company sitesave this job,40,1
monitor adherance to sops,35,1
"monitor business adherence to data policies, standards and procedures",35,1
monitoring of qualityleverage the data standards and rules to passively or actively manage data quality across ingredients and ingredient specifications,45,1
monitoring of qualityleverage the data standards and rules to passively or actively manage data quality across packaging and packaging specificationsidentifies root causes of data quality problems within their assigned area of stewardship and identifies sustainable solutions,36,1
monitoring of qualityleverage the data standards and rules to passively or actively manage data quality across product specifications and recipesidentifies root causes of data quality problems within their assigned area of stewardship and identifies sustainable solutions,50,1
monitoring results of business initiatives to develop best practices and improvement action plans,20,1
monitors compliance of enterprise data policies across the organization to ensure high quality and available data within the organization,24,1
must be able lift/carry up to 25 lbs,4,1
must be able to articulate patterns observed in data into meaningful and actionable set of kpi’s to monitor the health of petco data quality. skillfully interpret data from both technical and business perspectives,25,1
"must be able to communicate effectively, both verbally and in writing",4,1
"must be able to perform work safely, including utilization of all required personal protective equipment",4,1
must be able to work in extreme weather conditions (hot or cold,4,1
